Fragment1,Fragment2,Bonus
I12,I16,0.16
I15,I19,-0.61
I4,I7,0.30
I4,I5,0.40
I1,I12,0.70
I20,I21,0.24
I1,I19,-0.65
I5,I16,-0.64
I10,I21,-0.01
I5,I10,-0.52
I9,I11,-0.01
I7,I9,-0.58
I5,I12,0.29
I9,I16,-0.49
I3,I17,-0.46
I4,I6,-0.27
I5,I8,0.37
I14,I20,-0.29
I3,I20,-0.14
I9,I12,0.16
I4,I12,-0.14
I15,I21,-0.15
I8,I18,0.66
I19,I21,0.27
I13,I21,-0.29
I1,I15,-0.01
I2,I8,-0.59
I1,I11,-0.65
I6,I10,0.18
I13,I18,-0.55
I1,I17,-0.52
I1,I13,0.48
I7,I21,-0.39
I2,I19,-0.35
I16,I19,0.66
I11,I19,-0.62
I14,I19,-0.05
I10,I15,0.58
I6,I16,0.25
I4,I21,0.07
I1,I10,-0.63
I18,I20,-0.10
I2,I6,0.42
